AGENCE;EXPL;CLIENT;CODAPE;IDP;ANOMALIE_AGE;ANOMALIE_DATE_EER;ANOMALIE_CIN;;
1017;SR;581596;Particuliers non commerciaux;962790;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;583754;Particuliers non commerciaux;1025920;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583975;Particuliers non commerciaux;1032825;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;583911;Particuliers non commerciaux;1030371;;;ANOMALIE - Document d'identité expiré;;
1017;SR;584219;Particuliers non commerciaux;1043145;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;584185;Particuliers non commerciaux;1042551;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;584147;Particuliers non commerciaux;1041754;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577301;;123207;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;577308;COMMERCE DE DETAIL;123273;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577341;;123680;;;ANOMALIE - Document d'identité expiré;;
1017;SR;130355;PARTICULIERS SALARIES;70424;;;ANOMALIE - Document d'identité expiré;;
1017;SR;900259;PARTICULIERS NON-SALARIES;79287;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577020;COMMERCE DE DETAIL;119200;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577197;Autres services NCA;121699;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577050;Autres services NCA;119916;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577691;;129424;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577560;;126963;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578035;Autres services NCA;135001;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577801;;131202;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578033;;134965;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578023;;134762;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578193;;137779;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578526;;143981;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578445;;143227;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578543;;144329;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578716;;148528;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578747;;149661;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578723;;148795;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578610;;146276;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578588;;145664;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;578835;;152516;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578898;;153884;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578927;Autres services NCA;155045;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578977;;158038;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579107;;161058;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579150;;161914;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579233;Autres services NCA;163502;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579319;;166206;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579306;;165741;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579282;;164917;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579420;;167494;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579365;;166861;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579469;;168190;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580040;;175176;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;579682;;170913;;;ANOMALIE - Document d'identité expiré;;
